Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+;Directors;Genres;Country;Language;Runtime
Jagame Thandhiram;2021;18+;6,0;63;1;0;0;0;Karthik Subbaraj;Action,Crime,Drama,Thriller;United Kingdom,India;Tamil,Telugu;158
Awake;2021;;4,8;63;1;0;1;0;Mark Raso;Action,Adventure,Drama,Sci-Fi,Thriller;United States;English,Greek,Spanish;96
Malcolm & Marie;2021;18+;6,7;63;1;0;0;0;Sam Levinson;Drama,Romance;United States;English;106
America: The Motion Picture;2021;;5,7;63;1;0;0;0;Matt Thompson;Animation,Action,Adventure,Comedy,History,Sci-Fi;United States;English;98
Finding 'Ohana;2021;7+;6,1;62;1;0;0;0;Jude Weng;Action,Adventure,Comedy,Family;United States;English,Hawaiian,Spanish;123
PelÇ¸;2021;13+;7,0;62;1;0;0;0;Jeff Zimbalist,Michael Zimbalist;Biography,Drama,Sport;United States;English,Portuguese,Swedish;107
How I Became a Superhero;2021;;5,8;62;1;0;0;0;Douglas Attal;Action,Adventure,Comedy,Drama,Fantasy,Thriller;France,Belgium;French;97
Secret Magic Control Agency;2021;7+;6,2;62;1;0;0;0;Aleksey Tsitsilin;Animation,Adventure,Comedy,Family,Fantasy;Russia,United States;English;103
Nayattu;2021;18+;8,2;61;1;0;0;0;Martin Prakkat;Thriller;India;Malayalam;124
Mandela;2021;16+;8,5;61;1;0;0;0;Madonne Ashwin;Comedy,Drama;India;Tamil;140
The Seventh Day;2021;18+;4,4;61;1;0;0;0;Justin P. Lange;Horror,Mystery;United States;English;87
Things Heard & Seen;2021;18+;5,3;61;1;0;0;0;Shari Springer Berman,Robert Pulcini;Drama,Horror,Mystery,Thriller;United States;English;121
Monster;2021;18+;6,5;61;1;0;1;0;Patty Jenkins;Biography,Crime,Drama,Thriller;United States,Germany;English;109
Red Dot;2021;18+;5,5;61;1;0;0;0;Alain Darborg;Drama,Horror,Thriller;Sweden;Swedish,English;86
Skater Girl;2021;7+;6,7;61;1;0;0;0;Manjari Makijany;Drama,Family,Sport;United States,India;English,Hindi;107
Murder by the Coast;2021;18+;6,5;60;1;0;0;0;TÇÿnia BallÇü;Documentary,Crime,History,Mystery;Spain;Spanish,English;88
Crack: Cocaine, Corruption & Conspiracy;2021;18+;6,7;60;1;0;0;0;Stanley Nelson;Documentary,Crime,History;United States;English;89
Nail Bomber: Manhunt;2021;18+;6,3;60;1;0;0;0;Daniel Vernon;Documentary,Crime,History;United Kingdom;English;72
Paper Lives;2021;;6,7;60;1;0;0;0;Can Ulkay;Drama;Turkey;Turkish;96
Biggie: I Got a Story to Tell;2021;18+;6,9;60;1;0;0;0;Emmett Malloy;Documentary,Biography,Music;United States;English;97
Security;2021;;4,9;60;1;0;0;0;Peter Chelsom;Thriller;Italy;Italian;118
Cinema Bandi;2021;all;8,0;60;1;0;0;0;Praveen Kandregula;Comedy,Drama;India;Telugu;98
The 8th Night;2021;18+;5,4;59;1;0;0;0;Kim Tae-hyung;Horror,Thriller;South Korea;Korean;115
The Soul;2021;16+;6,6;59;1;0;0;0;Wei-Hao Cheng;Drama,Mystery,Sci-Fi,Thriller;China,Taiwan;Chinese,English,Mandarin,Min Nan;130
The Guide to the Perfect Family;2021;;6,3;59;1;0;0;0;Ricardo Trogi;Comedy,Drama;Canada;French;102
Nate Bargatze: The Greatest Average American;2021;all;7,3;59;1;0;0;0;Troy Miller;Comedy;United States;English;60
Pagglait;2021;16+;6,9;59;1;0;0;0;Umesh Bist;Comedy,Drama;India;Hindi;114
Operation Varsity Blues: The College Admissions Scandal;2021;18+;7,0;59;1;0;0;0;Chris Smith;Documentary,Crime,Drama;United States;English;99
Ali & Ratu Ratu Queens;2021;16+;7,1;58;1;0;0;0;Lucky Kuswandi;Comedy,Drama;Indonesia;Indonesian;100
Last Summer;2021;;6,4;58;1;0;0;0;;Drama,Mystery,Thriller;United States;English;45
The House of Flowers: The Movie;2021;18+;5,5;58;1;0;0;0;Manolo Caro;Comedy,Drama;Mexico;Spanish;86
Red;2021;16+;6,6;58;1;0;0;0;Domee Shi;Animation,Adventure,Comedy,Family,Fantasy;United States,Canada;English;
Crazy About Her;2021;18+;6,6;58;1;0;0;0;Dani de la Orden;Comedy,Romance;Spain;Spanish;102
New Gods: Nezha Reborn;2021;13+;6,9;58;1;0;0;0;Ji Zhao;Animation,Action,Fantasy;China;Mandarin;118
Why Did You Kill Me?;2021;18+;5,6;58;1;0;0;0;Fredrick Munk;Documentary,Crime;United States;Spanish,English;83
Ashin of the North;2021;18+;8,2;58;1;0;0;0;Seong-hun Kim;Action,Drama,History,Horror,Thriller;South Korea;Korean;92
Sweet & Sour;2021;;6,8;58;1;0;0;0;Kae-Byeok Lee;Comedy,Romance;South Korea;Korean;101
99 Songs;2021;;7,2;58;1;0;0;0;Vishwesh Krishnamoorthy;Musical,Romance;India;Hindi,Tamil,Telugu;128
Mobile Suit Gundam: Hathaway;2021;;6,8;57;1;0;0;0;ShÇ¯kÇï Murase;Animation,Action,Drama,Romance,Sci-Fi;Japan;Japanese;95
Get the Goat;2021;13+;6,2;57;1;0;0;0;Vitor Brandt;Action,Comedy,Crime;Brazil;Portuguese;97
Sentinelle;2021;;4,7;57;1;0;0;0;Julien Leclercq;Action,Crime,Drama,Thriller;France;French,Arabic,Russian;80
A Classic Horror Story;2021;18+;5,7;57;1;0;0;0;Roberto De Feo,Paolo Strippoli;Drama,Horror,Mystery,Thriller;Italy;Italian,English;95
Ajeeb Daastaans;2021;;6,7;57;1;0;0;0;Neeraj Ghaywan,Kayoze Irani,Shashank Khaitan,Raj Mehta;Drama,Romance;India;Hindi;142
